"","x","y"
"552",78.11,137.29
"553",89.27,121.75
"554",109.01,123.47
"555",78.97,141.61
"556",72.1,141.61
"557",72.96,146.79
"558",90.13,128.65
"559",96.14,113.98
"560",104.72,132.11
"561",87.55,137.29
"562",91.85,147.65
"563",89.27,165.78
"564",133.05,173.55
"565",67.81,106.2
"566",133.05,113.11
"567",89.27,104.48
"568",91.85,113.98
"569",139.06,116.57
"570",80.69,131.24
"571",97.85,122.61
"572",47.21,126.93
"573",66.95,121.75
"574",99.57,146.79
"575",142.49,136.43
"576",115.02,117.43
"577",72.96,138.15
"578",137.34,151.97
"579",118.45,133.84
"580",81.55,139.88
"581",56.65,117.43
"582",97,132.97
"583",78.11,132.97
"584",40.34,159.74
"585",85.84,160.6
"586",61.8,122.61
"587",124.46,138.15
"588",63.52,171.83
"589",88.41,148.51
"590",143.35,157.15
"591",127.04,188.23
"592",131.33,156.29
"593",79.83,139.02
"594",75.54,153.69
"595",63.52,135.56
"596",90.99,154.56
"597",72.1,158.01
"598",139.06,169.24
"599",45.49,150.24
"600",76.39,133.84
"601",76.39,168.37
"602",63.52,129.52
"603",130.47,149.38
"604",72.1,131.24
"605",75.54,142.47
"606",126.18,151.1
"607",78.11,151.1
"608",71.24,115.7
"609",71.24,115.7
"610",71.24,115.7
"611",71.24,115.7
"612",72.1,115.7
"613",90.13,122.61
"614",101.29,140.74
"615",143.35,138.15
"616",80.69,132.11
"617",98.71,131.24
"618",102.15,119.16
"619",69.53,145.92
"620",72.96,145.06
"621",80.69,105.34
"622",85.84,143.33
"623",67.81,158.01
"624",60.94,167.51
"625",74.68,145.06
"626",91.85,138.15
"627",72.1,128.65
"628",65.24,139.02
"629",69.53,156.29
"630",52.36,157.15
"631",50.64,148.51
"632",131.33,136.43
"633",149.36,148.51
"634",129.61,132.97
"635",121.03,167.51
"636",115.88,139.02
"637",118.45,152.83
"638",82.4,166.65
"639",93.56,136.43
"640",137.34,157.15
"641",143.35,141.61
"642",145.06,141.61
"643",113.3,166.65
"644",101.29,126.06
"645",99.57,149.38
"646",76.39,159.74
"647",73.82,149.38
"648",98.71,152.83
"649",138.2,158.88
"650",78.97,128.65
"651",66.95,164.92
"652",95.28,146.79
"653",45.49,165.78
"654",72.96,148.51
"655",72.1,158.01
"656",98.71,142.47
"657",165.67,146.79
"658",81.55,141.61
"659",92.7,105.34
"660",135.62,170.96
"661",44.64,145.06
"662",119.31,154.56
"663",59.23,136.43
"664",104.72,139.88
"665",124.46,150.24
"666",116.74,166.65
"667",129.61,151.97
"668",71.24,135.56
"669",143.35,132.11
"670",145.06,120.88
"671",55.79,125.2
"672",130.47,147.65
"673",115.02,155.42
"674",52.36,143.33
"675",83.26,114.84
"676",117.6,157.15
"677",73.82,132.11
"678",99.57,142.47
"679",133.91,161.47
"680",49.79,129.52
"681",53.22,165.78
"682",69.53,154.56
"683",131.33,135.56
"684",57.51,144.2
"685",110.73,145.06
"686",64.38,131.24
"687",146.78,133.84
"688",93.56,145.06
"689",118.45,140.74
"690",122.75,174.42
"691",48.93,147.65
"692",84.98,149.38
"693",77.25,130.38
"694",72.1,136.43
"695",120.17,159.74
"696",48.07,117.43
"697",120.17,161.47
"698",44.64,144.2
"699",72.1,161.47
"700",70.39,105.34
"701",139.06,134.7
"702",67.81,147.65
"703",144.21,135.56
"704",76.39,164.06
"705",64.38,150.24
"706",58.37,165.78
"707",61.8,143.33
"708",17.17,147.65
"709",40.34,120.02
"710",117.6,160.6
"711",115.88,151.97
"712",107.3,161.47
"713",121.03,165.78
"714",121.03,152.83
"715",71.24,113.11
"716",157.08,157.15
"717",69.53,124.34
"718",84.98,153.69
"719",120.17,128.65
"720",109.01,144.2
"721",65.24,128.65
"722",72.96,141.61
"723",54.08,146.79
"724",151.07,152.83
"725",81.55,129.52
"726",24.89,178.73
"727",153.65,165.78
"728",80.69,143.33
"729",156.22,144.2
"730",136.48,149.38
"731",68.67,145.92
"732",128.76,157.15
"733",60.09,165.78
"734",121.89,157.15
"735",85.84,127.79
"736",124.46,150.24
"737",147.64,129.52
"738",138.2,145.92
"739",140.77,149.38
"740",62.66,153.69
"741",49.79,158.88
"742",173.39,130.38
"743",52.36,151.97
"744",74.68,158.88
"745",90.99,130.38
"746",96.14,136.43
"747",60.09,145.92
"748",126.18,171.83
"749",107.3,141.61
"750",68.67,132.11
"751",118.45,146.79
"752",67.81,150.24
"753",133.05,148.51
"754",85.84,151.97
"755",115.02,143.33
"756",144.21,158.88
"757",131.33,145.92
"758",84.12,77.71
"759",111.59,181.33
"760",65.24,126.93
"761",137.34,125.2
"762",97.85,158.01
"763",57.51,145.92
"764",148.5,159.74
"765",128.76,123.47
"766",118.45,137.29
"767",98.71,95.84
"768",103.86,173.55
"769",115.88,150.24
"770",114.16,161.47
"771",102.15,121.75
"772",66.95,138.15
"773",88.41,94.98
"774",121.03,162.33
"775",71.24,139.02
"776",114.16,183.92
"777",115.88,159.74
"778",60.94,128.65
"779",85.84,159.74
"780",131.33,164.92
"781",178.54,123.47
"782",79.83,132.11
"783",136.48,186.51
"784",88.41,137.29
"785",126.18,133.84
"786",134.76,153.69
"787",84.98,139.02
"788",100.43,124.34
"789",63.52,136.43
"790",84.98,136.43
"791",135.62,163.19
"792",74.68,141.61
"793",72.1,132.97
"794",97.85,177.87
"795",146.78,119.16
"796",98.71,123.47
"797",93.56,126.93
"798",127.04,134.7
"799",62.66,158.01
"800",78.97,136.43
"801",107.3,129.52
"802",40.34,162.33
"803",78.11,163.19
"804",35.19,170.1
"805",58.37,141.61
"806",81.55,138.15
"807",151.07,153.69
"808",72.1,149.38
"809",76.39,116.57
"810",88.41,155.42
"811",135.62,132.97
"812",113.3,148.51
"813",116.74,134.7
"814",66.95,135.56
"815",97.85,116.57
"816",112.45,94.12
"817",88.41,125.2
"818",49.79,155.42
"819",84.98,160.6
"820",78.11,129.52
"821",72.1,172.69
"822",66.95,145.06
"823",86.7,148.51
"824",132.19,169.24
"825",79.83,156.29
"826",86.7,145.06
"827",140.77,158.88
"828",94.42,139.02
"829",95.28,178.73
"830",121.03,139.02
"831",111.59,151.97
"832",118.45,141.61
"833",170.82,124.34
"834",121.89,158.88
"835",58.37,149.38
"836",43.78,160.6
"837",90.13,152.83
"838",84.12,148.51
"839",106.44,155.42
"840",63.52,145.06
"841",60.94,151.1
"842",115.02,146.79
"843",109.01,116.57
"844",115.88,164.92
"845",71.24,142.47
"846",60.94,123.47
"847",151.07,137.29
"848",72.96,137.29
"849",143.35,130.38
"850",66.95,151.1
"851",53.22,145.06
"852",77.25,142.47
"853",146.78,151.97
"854",88.41,123.47
"855",37.77,134.7
"856",93.56,126.93
"857",84.98,136.43
"858",122.75,146.79
"859",132.19,142.47
"860",73.82,145.06
"861",32.62,139.02
"862",156.22,176.14
"863",131.33,146.79
"864",138.2,125.2
"865",120.17,103.61
"866",60.09,181.33
"867",116.74,135.56
"868",104.72,132.97
"869",78.97,146.79
"870",68.67,155.42
"871",82.4,154.56
"872",133.91,151.97
"873",155.36,134.7
"874",85.84,146.79
"875",63.52,143.33
"876",89.27,131.24
"877",126.18,161.47
"878",119.31,138.15
"879",71.24,145.06
"880",124.46,159.74
"881",106.44,145.06
"882",127.9,149.38
"883",132.19,151.97
"884",51.5,162.33
"885",156.22,150.24
"886",122.75,151.1
"887",88.41,143.33
"888",72.96,121.75
"889",84.98,119.16
"890",99.57,176.14
"891",109.87,148.51
"892",124.46,158.88
"893",122.75,177.87
"894",115.88,133.84
"895",98.71,145.92
"896",122.75,143.33
"897",81.55,117.43
"898",123.61,132.97
"899",68.67,139.88
"900",66.95,171.83
"901",78.97,143.33
"902",150.21,134.7
"903",78.97,113.98
"904",139.06,134.7
"905",135.62,126.06
"906",131.33,147.65
"907",72.1,150.24
"908",130.47,115.7
"909",103,144.2
"910",96.14,113.11
"911",156.22,118.29
"912",138.2,137.29
"913",75.54,114.84
"914",83.26,151.1
"915",92.7,124.34
"916",64.38,155.42
"917",83.26,131.24
"918",88.41,136.43
"919",103,91.53
"920",75.54,123.47
"921",118.45,108.8
"922",77.25,127.79
"923",113.3,154.56
"924",95.28,112.25
"925",43.78,166.65
"926",80.69,130.38
"927",105.58,114.84
"928",72.1,125.2
"929",104.72,134.7
"930",73.82,123.47
"931",107.3,126.06
"932",88.41,120.88
"933",83.26,117.43
"934",112.45,98.43
"935",69.53,156.29
"936",47.21,156.29
"937",69.53,128.65
"938",78.11,104.48
"939",108.15,142.47
"940",49.79,140.74
"941",72.96,128.65
"942",80.69,127.79
"943",59.23,95.84
"944",74.68,125.2
"945",72.1,121.75
"946",75.54,108.8
"947",102.15,149.38
"948",97.85,151.97
"949",145.92,149.38
"950",78.97,158.01
"951",143.35,152.83
"952",151.93,116.57
"953",72.1,152.83
"954",95.28,109.66
"955",114.16,126.93
"956",109.01,124.34
"957",97,128.65
"958",61.8,126.06
"959",66.95,142.47
"960",76.39,132.11
"961",101.29,132.11
"962",125.32,137.29
"963",76.39,142.47
"964",133.05,144.2
"965",79.83,104.48
"966",82.4,139.02
"967",70.39,143.33
"968",107.3,133.84
"969",71.24,147.65
"970",149.36,142.47
"971",97.85,120.02
"972",92.7,124.34
"973",103,145.92
"974",64.38,136.43
"975",102.15,123.47
"976",77.25,133.84
"977",132.19,116.57
"978",137.34,131.24
"979",75.54,135.56
"980",85.84,135.56
"981",94.42,116.57
"982",99.57,139.88
"983",100.43,132.97
"984",75.54,143.33
"985",32.62,141.61
"986",82.4,141.61
"987",42.06,140.74
"988",103,137.29
"989",81.55,172.69
"990",81.55,145.06
"991",108.15,118.29
"992",108.15,146.79
"993",123.61,86.35
"994",111.59,113.98
"995",61.8,107.07
"996",115.02,118.29
"997",42.92,149.38
"998",74.68,141.61
"999",72.96,132.11
"1000",81.55,134.7
"1001",54.08,107.07
"1002",81.55,140.74
"1003",71.24,164.06
"1004",95.28,148.51
"1005",57.51,177.01
"1006",120.17,126.06
"1007",57.51,158.88
"1008",66.95,137.29
"1009",91.85,134.7
"1010",66.95,128.65
"1011",100.43,136.43
"1012",50.64,125.2
"1013",54.94,173.55
"1014",98.71,114.84
"1015",72.1,178.73
"1016",98.71,136.43
"1017",121.89,151.97
"1018",86.7,139.88
"1019",117.6,133.84
"1020",156.22,173.55
"1021",94.42,146.79
"1022",41.2,164.92
"1023",119.31,142.47
"1024",58.37,166.65
"1025",66.95,171.83
"1026",70.39,146.79
"1027",116.74,129.52
"1028",89.27,149.38
"1029",97,154.56
"1030",167.38,134.7
"1031",72.1,132.97
"1032",43.78,134.7
"1033",72.96,124.34
"1034",121.03,139.88
"1035",93.56,142.47
"1036",114.16,153.69
"1037",155.36,142.47
"1038",76.39,135.56
"1039",138.2,156.29
"1040",109.87,116.57
"1041",152.79,148.51
"1042",127.9,129.52
"1043",72.96,149.38
"1044",137.34,133.84
"1045",72.1,141.61
"1046",78.97,126.93
"1047",72.96,143.33
"1048",90.99,117.43
"1049",144.21,118.29
"1050",98.71,159.74
"1051",121.89,146.79
"1052",76.39,162.33
"1053",85.84,132.11
"1054",122.75,134.7
"1055",94.42,122.61
"1056",84.12,126.93
"1057",133.91,167.51
"1058",130.47,151.1
"1059",91.85,127.79
"1060",84.12,170.1
"1061",100.43,144.2
"1062",132.19,156.29
"1063",107.3,126.93
"1064",94.42,146.79
"1065",98.71,172.69
"1066",86.7,148.51
"1067",46.35,181.33
"1068",102.15,146.79
"1069",20.6,207.23
"1070",78.97,154.56
"1071",112.45,160.6
"1072",84.98,126.93
"1073",97.85,130.38
"1074",146.78,155.42
"1075",66.09,138.15
"1076",90.99,141.61
"1077",112.45,128.65
"1078",121.03,136.43
"1079",99.57,95.84
"1080",54.94,139.02
"1081",184.55,151.1
"1082",113.3,135.56
"1083",117.6,149.38
"1084",88.41,133.84
"1085",139.06,164.92
"1086",74.68,151.1
"1087",78.97,104.48
"1088",118.45,158.88
"1089",74.68,143.33
"1090",103,138.15
"1091",98.71,121.75
"1092",91.85,121.75
"1093",167.38,120.02
"1094",170.82,128.65
"1095",127.04,107.07
"1096",147.64,124.34
"1097",103,139.02
"1098",96.14,128.65
"1099",83.26,136.43
"1100",138.2,139.02
"1101",131.33,149.38
"1102",75.54,131.24
"1103",107.3,126.06
"1104",83.26,128.65
"1105",81.55,132.97
"1106",150.21,132.11
"1107",145.92,135.56
"1108",90.99,113.11
"1109",67.81,113.98
"1110",84.98,134.7
"1111",87.55,126.93
"1112",87.55,150.24
"1113",77.25,139.02
"1114",117.6,161.47
"1115",31.76,141.61
"1116",91.85,143.33
"1117",84.98,119.16
"1118",88.41,149.38
"1119",107.3,106.2
"1120",163.09,123.47
"1121",78.97,142.47
"1122",93.56,131.24
"1123",79.83,138.15
"1124",79.83,134.7
"1125",72.1,145.92
"1126",93.56,117.43
"1127",95.28,110.52
"1128",126.18,132.97
"1129",83.26,123.47
"1130",122.75,142.47
"1131",86.7,121.75
"1132",116.74,114.84
"1133",116.74,120.88
"1134",146.78,139.88
"1135",107.3,131.24
"1136",68.67,138.15
"1137",82.4,121.75
"1138",154.51,135.56
"1139",118.45,106.2
"1140",143.35,132.97
"1141",86.7,128.65
"1142",87.55,121.75
"1143",118.45,120.88
"1144",106.44,143.33
"1145",104.72,150.24
"1146",52.36,146.79
"1147",157.94,145.92
"1148",108.15,132.11
"1149",105.58,147.65
"1150",67.81,118.29
"1151",126.18,147.65
"1152",95.28,138.15
"1153",76.39,145.92
"1154",114.16,130.38
"1155",122.75,94.98
"1156",109.01,145.92
"1157",106.44,112.25
"1158",116.74,134.7
"1159",47.21,151.1
"1160",73.82,143.33
"1161",110.73,132.11
"1162",65.24,158.01
"1163",82.4,151.97
"1164",135.62,151.97
"1165",146.78,151.1
"1166",75.54,158.88
"1167",72.1,186.51
"1168",113.3,142.47
"1169",156.22,144.2
"1170",109.87,160.6
"1171",67.81,162.33
"1172",103.86,149.38
"1173",127.04,135.56
"1174",88.41,122.61
"1175",87.55,163.19
"1176",60.94,182.19
"1177",86.7,156.29
"1178",111.59,144.2
"1179",64.38,125.2
"1180",90.13,132.97
"1181",103,137.29
"1182",69.53,179.6
"1183",83.26,124.34
"1184",96.14,154.56
"1185",109.01,157.15
"1186",138.2,163.19
"1187",144.21,145.06
"1188",113.3,132.11
"1189",109.87,155.42
"1190",112.45,109.66
"1191",126.18,133.84
"1192",136.48,147.65
"1193",60.94,151.97
"1194",133.05,136.43
"1195",87.55,134.7
"1196",100.43,110.52
"1197",94.42,157.15
"1198",109.87,144.2
"1199",93.56,125.2
"1200",117.6,140.74
"1201",86.7,94.12
"1202",136.48,118.29
"1203",173.39,152.83
"1204",77.25,177.87
"1205",113.3,147.65
"1206",125.32,131.24
"1207",103.86,131.24
"1208",105.58,126.06
"1209",63.52,133.84
"1210",81.55,137.29
"1211",110.73,120.88
"1212",108.15,151.97
"1213",76.39,162.33
"1214",81.55,163.19
"1215",144.21,111.39
"1216",129.61,139.88
"1217",78.11,141.61
"1218",124.46,150.24
"1219",82.4,134.7
"1220",87.55,149.38
"1221",69.53,139.02
"1222",154.51,132.97
"1223",117.6,134.7
"1224",89.27,156.29
"1225",131.33,158.01
"1226",124.46,117.43
"1227",90.99,153.69
"1228",109.01,141.61
"1229",86.7,152.83
"1230",43.78,164.92
"1231",60.09,163.19
"1232",64.38,134.7
"1233",78.11,139.88
"1234",73.82,170.96
"1235",105.58,132.11
"1236",90.13,126.06
"1237",123.61,172.69
"1238",105.58,119.16
"1239",54.94,140.74
"1240",67.81,168.37
"1241",62.66,142.47
"1242",84.12,148.51
"1243",98.71,154.56
"1244",83.26,135.56
"1245",97.85,112.25
"1246",117.6,128.65
"1247",81.55,136.43
"1248",148.5,104.48
"1249",117.6,154.56
"1250",68.67,148.51
