"","url","inning_side","inning","next_","num","gameday_link","row_names","des","des_es","id","type","tfs","tfs_zulu","x","y","sv_id","start_speed","end_speed","sz_top","sz_bot","pfx_x","pfx_z","px","pz","x0","y0","z0","vx0","vy0","vz0","ax","ay","az","break_y","break_angle","break_length","pitch_type","type_confidence","zone","nasty","spin_dir","spin_rate","cc","mt","on_1b","on_2b","on_3b","count","pitcher","batter","b","s","o","start_tfs","start_tfs_zulu","stand","b_height","p_throws","atbat_des","atbat_des_es","event","score","home_team_runs","away_team_runs","event2","event3","batter_name","pitcher_name","event4","date"
"383","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_20/gid_2011_06_20_nyamlb_cinmlb_1/inning/inning_all.xml","bottom",9,"N",67,"gid_2011_06_20_nyamlb_cinmlb_1","2583106","In play, run(s)",NA,558,"X","215126","2011-06-21T01:51:26Z",92.7,145.06,"110620_215128",91.1,85.6,3.32,1.62,2.54,4.6,0.263,2.632,-2.379,50,5.913,6.138,-133.403,-4.259,4.666,23.362,-23.647,"23.9","-13.1","5.5","FC",0.902,6,28,151.314,1057.084,"","",NA,458015,408252,"1-0",121250,121409,1,0,1,"215100","2011-06-21T01:51:00Z","R","6-4","R","Scott Rolen singles on a ground ball to shortstop Eduardo Nunez.    Brandon Phillips scores.    Joey Votto to 3rd.  ",NA,"Single","T","2","5",NA,NA,"Scott Rolen","Mariano Rivera",NA,"2011_06_20"
"386","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",72,"gid_2011_06_16_texmlb_nyamlb_1","2568468","Called Strike",NA,554,"S","155232","2011-06-16T19:52:32Z",130.47,160.6,"110616_155234",92.4,85.8,3.15,1.47,1.67,7.94,-0.896,1.898,-2.308,50,5.818,3.203,-135.336,-7.284,3.128,27.486,-17.27,"23.8","-11.3","4.1","FC",0.903,13,70,168.149,1632.496,"","",NA,NA,NA,"0-0",121250,462101,2,1,3,"155223","2011-06-16T19:52:23Z","R","6-0","R","Elvis Andrus grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Elvis Andrus","Mariano Rivera",NA,"2011_06_16"
"387","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",72,"gid_2011_06_16_texmlb_nyamlb_1","2568469","Ball",NA,555,"B","155249","2011-06-16T19:52:49Z",163.09,156.29,"110616_155252",93.1,86.8,3.2,1.47,-4.7,6.91,-1.837,2.114,-2.342,50,5.84,3.022,-136.403,-6.585,-8.963,26.598,-18.928,"23.9","22.6","4.6","FF",0.977,13,20,214.083,1701.068,"","",NA,NA,NA,"0-1",121250,462101,2,1,3,"155223","2011-06-16T19:52:23Z","R","6-0","R","Elvis Andrus grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Elvis Andrus","Mariano Rivera",NA,"2011_06_16"
"388","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",72,"gid_2011_06_16_texmlb_nyamlb_1","2568470","Ball",NA,556,"B","155304","2011-06-16T19:53:04Z",62.66,166.65,"110616_155306",93,86.7,3.2,1.47,1.54,8.56,1.167,1.729,-1.953,50,5.809,7.874,-135.966,-8.052,2.914,26.789,-15.907,"23.9","-14.1","3.8","FC",0.914,14,61,169.846,1763.348,"","",NA,NA,NA,"1-1",121250,462101,2,1,3,"155223","2011-06-16T19:52:23Z","R","6-0","R","Elvis Andrus grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Elvis Andrus","Mariano Rivera",NA,"2011_06_16"
"389","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",72,"gid_2011_06_16_texmlb_nyamlb_1","2568471","In play, out(s)",NA,557,"X","155323","2011-06-16T19:53:23Z",142.49,149.38,"110616_155326",91.5,85.2,3.2,1.47,2.86,6.95,-1.254,2.411,-2.384,50,5.878,2.015,-134.022,-5.575,5.253,26.182,-19.332,"23.9","-15.4","4.7","FC",0.899,11,45,157.755,1501.944,"","",NA,NA,NA,"2-1",121250,462101,2,1,3,"155223","2011-06-16T19:52:23Z","R","6-0","R","Elvis Andrus grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Elvis Andrus","Mariano Rivera",NA,"2011_06_16"
"393","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",71,"gid_2011_06_16_texmlb_nyamlb_1","2568463","Ball",NA,546,"B","155022","2011-06-16T19:50:22Z",66.09,125.2,"110616_155025",92.3,85.9,3.32,1.52,3.12,8.58,1.081,3.387,-1.964,50,6.06,7.072,-135.059,-4.163,5.827,26.155,-16.063,"23.9","-22.9","4.0","FC",0.919,12,79,160.118,1840.332,"","",NA,NA,NA,"0-0",121250,435079,2,2,2,"155022","2011-06-16T19:50:22Z","R","6-0","R","Ian Kinsler grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Ian Kinsler","Mariano Rivera",NA,"2011_06_16"
"394","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",71,"gid_2011_06_16_texmlb_nyamlb_1","2568464","Ball",NA,547,"B","155038","2011-06-16T19:50:38Z",169.1,141.61,"110616_155040",92.8,85.6,3.25,1.55,-5.54,5.88,-2.066,2.796,-2.374,50,5.902,2.761,-136.08,-4.421,-10.388,29.958,-21.072,"23.8","24.0","5.2","FF",0.981,11,24,223.096,1620.947,"","",NA,NA,NA,"1-0",121250,435079,2,2,2,"155022","2011-06-16T19:50:22Z","R","6-0","R","Ian Kinsler grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Ian Kinsler","Mariano Rivera",NA,"2011_06_16"
"395","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",71,"gid_2011_06_16_texmlb_nyamlb_1","2568465","Foul",NA,548,"S","155052","2011-06-16T19:50:52Z",96.14,127.79,"110616_155054",91.6,85.3,3.28,1.52,3.03,8.12,0.2,3.324,-2.062,50,6.018,4.972,-134.193,-3.958,5.598,25.744,-17.121,"23.9","-20.0","4.2","FC",0.913,12,46,159.602,1736.295,"","",NA,NA,NA,"2-0",121250,435079,2,2,2,"155022","2011-06-16T19:50:22Z","R","6-0","R","Ian Kinsler grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Ian Kinsler","Mariano Rivera",NA,"2011_06_16"
"396","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",71,"gid_2011_06_16_texmlb_nyamlb_1","2568466","Foul",NA,549,"S","155129","2011-06-16T19:51:29Z",70.39,142.47,"110616_155131",92.4,86.4,3.28,1.52,3.33,8.09,0.981,2.783,-2.048,50,6.018,6.968,-135.173,-5.545,6.259,25.163,-16.895,"23.9","-22.7","4.2","FC",0.91,12,53,157.725,1772.121,"","",NA,NA,NA,"2-1",121250,435079,2,2,2,"155022","2011-06-16T19:50:22Z","R","6-0","R","Ian Kinsler grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Ian Kinsler","Mariano Rivera",NA,"2011_06_16"
"397","http://gd2.mlb.com/components/game/mlb/year_2011/month_06/day_16/gid_2011_06_16_texmlb_nyamlb_1/inning/inning_all.xml","top",9,"Y",71,"gid_2011_06_16_texmlb_nyamlb_1","2568467","In play, out(s)",NA,550,"X","155152","2011-06-16T19:51:52Z",110.73,164.06,"110616_155154",90.8,85.4,3.28,1.52,4.04,6.65,-0.298,1.8,-2.375,50,5.827,4.105,-132.955,-6.888,7.371,23.11,-19.955,"23.9","-20.8","5.0","FC",0.891,7,37,148.901,1557.128,"","",NA,NA,NA,"2-2",121250,435079,2,2,2,"155022","2011-06-16T19:50:22Z","R","6-0","R","Ian Kinsler grounds out, third baseman Ramiro Pena to first baseman Mark Teixeira.  ",NA,"Groundout",NA,NA,NA,NA,NA,"Ian Kinsler","Mariano Rivera",NA,"2011_06_16"
